url,beds,city,date,size,type,baths,price,neighborhood,price_per_sqft,full_address,latitude,longitude
https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-s-saamarth-twinland-koba-gandhinagar-8478-sq-ft-to-10573-sq-ft-npspid-G79358405,5,Gandhinagar,19-02-2025,9530.0,5 BHK House,0,0.0,"Koba, Raysan",0.0,"Koba, Raysan, Gandhinagar",,
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sargasan-gandhinagar-1530-sq-ft-spid-Z79621649,2,Gandhinagar,19-02-2025,1530.0,2 BHK Flat,2,6500000.0,Sargasan,4248.366013071895,"Sargasan, Gandhinagar",23.1842801,72.6156802
https://www.99acres.com/polaris-calice-randesan-gandhinagar-npxid-r411905,3,Gandhinagar,19-02-2025,2580.0,3 BHK Apartment,0,11200000.0,Randesan,4341.085271317829,"Randesan, Gandhinagar",23.1790845,72.6472583
https://www.99acres.com/sobha-elysia-gift-city-gandhinagar-npxid-r426127,3,Gandhinagar,19-02-2025,1940.0,"3, 4 BHK Apartment",0,25400000.0,Gift City,13092.783505154639,"Gift City, Gandhinagar",23.1629053,72.688695
https://www.99acres.com/altezza-by-the-palm-sargasan-gandhinagar-npxid-r394631,3,Gandhinagar,19-02-2025,2916.0,3 BHK Apartment,0,11900000.0,Sargasan,4080.932784636488,"Sargasan, Gandhinagar",23.1842801,72.6156802
https://www.99acres.com/the-one-randesan-gandhinagar-npxid-r425978,4,Gandhinagar,19-02-2025,4850.0,"4, 5 BHK Apartment",0,20000000.0,Randesan,4123.711340206186,"Randesan, Gandhinagar",23.1790845,72.6472583
https://www.99acres.com/polaris-casarica-sargasan-gandhinagar-npxid-r393562,3,Gandhinagar,19-02-2025,2475.0,3 BHK Apartment,0,10700000.0,Sargasan,4323.232323232323,"Sargasan, Gandhinagar",23.1842801,72.6156802
https://www.99acres.com/srushti-kudasan-gandhinagar-npxid-r383515,2,Gandhinagar,19-02-2025,2700.0,"2, 3, 4 BHK Apartment",0,7014000.0,Kudasan,2597.777777777778,"Kudasan, Gandhinagar",23.1704419,72.6234269
https://www.99acres.com/ekarth-sarvam-koba-gandhinagar-npxid-r428573,4,Gandhinagar,19-02-2025,7200.0,"4, 5 BHK Apartment",0,0.0,Koba,0.0,"Koba, Gandhinagar",23.1445974,72.6339875
https://www.99acres.com/shilp-north-sky-gift-city-gandhinagar-npxid-r406643,2,Gandhinagar,19-02-2025,3040.0,"2, 3, 4 BHK Apartment",0,12200000.0,Gift City,4013.157894736842,"Gift City, Gandhinagar",23.1629053,72.688695
https://www.99acres.com/residential-land-plot-for-sale-in-kanyakumari-121-sq-yard-spid-C79440309,0,Kanyakumari,17-02-2025,1090.0,Plot/Land,0,4000000.0,"Near Shri Shirdi Sai Baba Temple, Pothayadi junction.",3669.7247706422017,"Near Shri Shirdi Sai Baba Temple, Pothayadi junction., Kanyakumari",,
https://www.99acres.com/residential-land-plot-for-sale-in-azad-nagar-madhavalayam-kanyakumari-339-sq-yard-spid-R79917611,0,Kanyakumari,05-02-2025,3049.0,Plot/Land,0,6300000.0,"Madhavalayam, Azad Nagar",2066.2512299114464,"Madhavalayam, Azad Nagar, Kanyakumari",,
https://www.99acres.com/residential-land-plot-for-sale-in-thiruppathisaram-kanyakumari-48-sq-yard-spid-C79621191,0,Kanyakumari,02-02-2025,435.0,Plot/Land,0,1100000.0,Thiruppathisaram,2528.735632183908,"Thiruppathisaram, Kanyakumari",,
https://www.99acres.com/residential-land-plot-for-sale-in-putheri-kanyakumari-242-sq-yard-spid-N79629105,0,Kanyakumari,02-02-2025,2178.0,Plot/Land,0,4000000.0,Putheri,1836.5472910927456,"Putheri, Kanyakumari",,
https://www.99acres.com/residential-land-plot-for-sale-in-thuckalay-kanyakumari-439-sq-yard-spid-K80381775,0,Kanyakumari,18-02-2025,3950.0,Plot/Land,0,13500000.0,Thuckalay,3417.721518987342,"Thuckalay, Kanyakumari",8.2583669,77.3111896
https://www.99acres.com/residential-land-plot-for-sale-in-kulasekharam-kanyakumari-290-sq-yard-spid-G80376215,0,Kanyakumari,18-02-2025,2613.0,Plot/Land,0,3600000.0,Kulasekharam,1377.7267508610792,"Kulasekharam, Kanyakumari",,
https://www.99acres.com/residential-land-plot-for-sale-in-marthandam-kanyakumari-1111-sq-yard-spid-X80321373,0,Kanyakumari,16-02-2025,10000.0,Plot/Land,0,53000000.0,Marthandam,5300.0,"Marthandam, Kanyakumari",8.3037096,77.2297022
https://www.99acres.com/residential-land-plot-for-sale-in-mandaikadu-kanyakumari-629-sq-yard-spid-N80300531,0,Kanyakumari,15-02-2025,5662.0,Plot/Land,0,5460000.0,Mandaikadu,964.3235605793006,"Mandaikadu, Kanyakumari",8.162546,77.2790757
https://www.99acres.com/residential-land-plot-for-sale-in-thuckalay-kanyakumari-242-sq-yard-spid-V80241639,0,Kanyakumari,15-02-2025,2178.0,Plot/Land,0,3000000.0,Thuckalay,1377.4104683195592,"Thuckalay, Kanyakumari",8.2583669,77.3111896
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-marthandam-kanyakumari-3800-sq-ft-spid-G80215947,3,Kanyakumari,12-02-2025,3800.0,House,2,10000000.0,Marthandam,2631.5789473684213,"Marthandam, Kanyakumari",8.3037096,77.2297022
https://www.99acres.com/residential-land-plot-for-sale-in-sulur-coimbatore-319-sq-yard-r2-spid-H77649167,0,Coimbatore,19-02-2025,2874.0,Residential land / Plot,0,1998000.0,Sulur,695.1983298538622,"Sulur, Coimbatore",10.9890536,77.1014971
https://www.99acres.com/residential-land-plot-for-sale-in-ettimadai-coimbatore-147-sq-yard-spid-D79347859,0,Coimbatore,19-02-2025,1321.0,Residential land / Plot,0,7678000.0,Ettimadai,5812.26343679031,"Ettimadai, Coimbatore",10.8984762,76.8959745
https://www.99acres.com/green-field-crystal-gateway-sulur-coimbatore-npxid-r439016,2,Coimbatore,19-02-2025,,"2, 3, 4 BHK Villa, Land",0,1240000.0,Sulur,,"Sulur, Coimbatore",10.9890536,77.1014971
https://www.99acres.com/royal-kalpataru-ganapathy-coimbatore-npxid-r275677,4,Coimbatore,19-02-2025,,"4, 5 BHK Villa",0,25100000.0,Ganapathy,,"Ganapathy, Coimbatore",11.0383247,76.9780717
https://www.99acres.com/harish-bhairav-vellakinar-coimbatore-npxid-r398187,2,Coimbatore,19-02-2025,,"2, 3 BHK Villa",0,1500000.0,Vellakinar,,"Vellakinar, Coimbatore",11.0733308,76.9558099
https://www.99acres.com/rks-shivom-sulur-coimbatore-npxid-r409009,2,Coimbatore,19-02-2025,,"2, 3 BHK Villa, Land",0,948000.0,Sulur,,"Sulur, Coimbatore",10.9890536,77.1014971
https://www.99acres.com/trisquare-amber-gn-mills-coimbatore-npxid-r430125,3,Coimbatore,19-02-2025,,"3, 4, 5 BHK Villa",0,23000000.0,GN Mills,,"GN Mills, Coimbatore",11.060303,76.9447575
https://www.99acres.com/vsks-aira-singanallur-coimbatore-npxid-r397871,2,Coimbatore,19-02-2025,,"2, 3, 4 BHK Apartment",0,880000.0,Singanallur,,"Singanallur, Coimbatore",11.0124691,77.0391191
https://www.99acres.com/golden-town-karamadai-coimbatore-npxid-r439297,0,Coimbatore,19-02-2025,,Land,0,1859000.0,Karamadai,,"Karamadai, Coimbatore",11.2393183,76.9600768
https://www.99acres.com/skm-indraprastha-residency-thudiyalur-coimbatore-npxid-r421314,3,Coimbatore,19-02-2025,,"3, 4 BHK Villa",0,8232000.0,Thudiyalur,,"Thudiyalur, Coimbatore",11.0805532,76.9421498
https://www.99acres.com/residential-land-plot-for-sale-in-penamaluru-vijayawada-167-sq-yard-r13-spid-J63431142,0,Vijayawada,19-02-2025,1503.0,Residential land / Plot,0,2004000.0,Penamaluru,1333.3333333333333,"Penamaluru, Vijayawada",16.4847463,80.6837924
https://www.99acres.com/residential-land-plot-for-sale-in-penamaluru-vijayawada-183-sq-yard-r13-spid-B63431288,0,Vijayawada,19-02-2025,1647.0,Residential land / Plot,0,2196000.0,Penamaluru,1333.3333333333333,"Penamaluru, Vijayawada",16.4847463,80.6837924
https://www.99acres.com/alekhya-grand-sri-ramachandra-nagar-vijayawada-npxid-r425422,4,Vijayawada,19-02-2025,3690.0,4 BHK Apartment,0,26700000.0,Sri Ramachandra Nagar,7235.772357723577,"Sri Ramachandra Nagar, Vijayawada",,
https://www.99acres.com/aiswarya-gateway-pamarru-vijayawada-npxid-r439430,0,Vijayawada,19-02-2025,1960.0,Land,0,1350000.0,Pamarru,688.7755102040817,"Pamarru, Vijayawada",16.2593022,81.0221488
https://www.99acres.com/fugen-royal-infinia-ramavarappadu-vijayawada-npxid-r436943,0,Vijayawada,19-02-2025,4615.0,Land,0,7552000.0,Ramavarappadu,1636.403033586132,"Ramavarappadu, Vijayawada",16.5270964,80.679073
https://www.99acres.com/sree-hemadurga-jewel-county-gannavaram-vijayawada-npxid-r295973,2,Vijayawada,19-02-2025,955.0,"2, 3 BHK Apartment",2,5065000.0,Gannavaram,5303.664921465968,"Gannavaram, Vijayawada",16.5315766,80.8029504
https://www.99acres.com/vasishta-olympia-poranki-vijayawada-npxid-r423035,3,Vijayawada,19-02-2025,3400.0,"3, 4 BHK Apartment",0,0.0,Poranki,0.0,"Poranki, Vijayawada",16.5040612,80.7181927
